epochs,seed,model_kind,date,daily_ic
3,17,concat_a:intensity_indexret,2024-08-21,-0.05692307692307692
3,17,concat_a:intensity_indexret,2024-08-22,-0.19384615384615386
3,17,concat_a:intensity_indexret,2024-08-23,-0.13692307692307693
3,17,concat_a:intensity_indexret,2024-08-26,-0.2346153846153846
3,17,concat_a:intensity_indexret,2024-08-27,-0.12384615384615384
3,17,concat_a:intensity_indexret,2024-08-28,-0.1769230769230769
3,17,concat_a:intensity_indexret,2024-08-29,-0.0015384615384615385
3,17,concat_a:intensity_indexret,2024-08-30,-0.15461538461538463
3,17,concat_a:intensity_indexret,2024-09-03,0.13384615384615384
3,17,concat_a:intensity_indexret,2024-09-04,0.16999999999999998
3,17,concat_a:intensity_indexret,2024-09-05,0.039999999999999994
3,17,concat_a:intensity_indexret,2024-09-06,0.4584615384615385
3,17,concat_a:intensity_indexret,2024-09-09,0.3823076923076923
3,17,concat_a:intensity_indexret,2024-09-10,0.14923076923076922
3,17,concat_a:intensity_indexret,2024-09-11,0.11923076923076922
3,17,concat_a:intensity_indexret,2024-09-12,0.39384615384615385
3,17,concat_a:intensity_indexret,2024-09-13,0.025384615384615387
3,17,concat_a:intensity_indexret,2024-09-16,0.18461538461538463
3,17,concat_a:intensity_indexret,2024-09-17,0.2676923076923077
3,17,concat_a:intensity_indexret,2024-09-18,0.3876923076923077
3,17,concat_a:intensity_indexret,2024-09-19,0.12076923076923077
3,17,concat_a:intensity_indexret,2024-09-20,0.2646153846153846
3,17,concat_a:intensity_indexret,2024-09-23,-0.07769230769230769
3,17,concat_a:intensity_indexret,2024-09-24,-0.05846153846153846
3,17,concat_a:intensity_indexret,2024-09-25,-0.5461538461538461
3,17,concat_a:intensity_indexret,2024-09-26,0.003076923076923077
3,17,concat_a:intensity_indexret,2024-09-27,-0.34307692307692306
3,17,concat_a:intensity_indexret,2024-09-30,-0.3569230769230769
3,17,concat_a:intensity_indexret,2024-10-01,-0.026153846153846153
3,17,concat_a:intensity_indexret,2024-10-02,-0.19615384615384615
3,17,concat_a:intensity_indexret,2024-10-03,0.11076923076923079
3,17,concat_a:intensity_indexret,2024-10-04,0.05846153846153846
3,17,concat_a:intensity_indexret,2024-10-07,0.2276923076923077
3,17,concat_a:intensity_indexret,2024-10-08,0.2053846153846154
3,17,concat_a:intensity_indexret,2024-10-09,0.12307692307692307
